palabra,cantidad
aenean,1
tempor,1
elementum,2
mollis,5
potenti,1
bibendum,1
commodo,5
purus,6
augue,1
justo,3
lorem,6
leo,1
nam,4
habitant,1
semper,5
volutpat,3
sodales,5
velit,4
urna,2
luctus,2
fusce,4
pellentesque,7
ipsum,5
convallis,3
elit,7
ullamcorper,1
laoreet,1
vestibulum,2
congue,3
arcu,1
dolor,8
iaculis,2
sed,9
duis,1
metus,2
vehicula,2
dapibus,4
sem,3
pulvinar,1
porta,1
ultricies,1
interdum,3
nisi,3
morbi,3
quam,4
nisl,1
tincidunt,5
ultrices,1
aliquam,4
condimentum,2
ornare,4
praesent,3
magna,4
auctor,2
turpis,2
nibh,2
placerat,2
ante,3
malesuada,3
rutrum,3
sapien,2
quis,7
porttitor,2
sagittis,2
eros,3
maximus,2
etiam,2
tristique,3
adipiscing,1
est,2
odio,4
eleifend,3
accumsan,3
fames,1
egestas,5
nec,6
scelerisque,3
erat,2
nunc,2
facilisis,2
euismod,4
donec,6
vivamus,2
mauris,7
neque,2
imperdiet,4
molestie,3
vel,6
feugiat,3
enim,7
ligula,5
lobortis,2
consequat,1
varius,3
dignissim,1
facilisi,1
vulputate,2
fermentum,6
lacus,2
mattis,2
vitae,5
senectus,1
posuere,4
felis,2
tellus,2
orci,2
faucibus,1
phasellus,3
massa,3
pharetra,2
blandit,6
lacinia,4
lectus,1
rhoncus,1
viverra,3
netus,1
non,3
proin,3
risus,1
cras,4
maecenas,1
hendrerit,4
sit,6
tortor,4
fringilla,2
curabitur,1
sollicitudin,1
suspendisse,3
amet,6
pretium,3
dui,2
libero,3
eget,6
consectetur,4
gravida,2
nulla,7
